MovieId|Title|ReleasedYear|War|Film-Noir|Thriller|Western|Crime|Action|Drama|Musical|Fantasy|Documentary|Sci-Fi|Animation|Mystery|Comedy|Children's|Adventure|Romance|Horror|Synopsis|Actors|Directors
1|Toy Story|1995|0|0|0|0|0|0|0|0|0|0|0|1|0|1|1|0|0|0|Led by Woody, Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onto the scene. Afraid of losing his place in Andy's heart, Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner, the duo eventually learns to put aside their differences.|"['Tom Hanks', 'Tim Allen', 'Don Rickles', 'Jim Varney', 'Wallace Shawn', 'John Ratzenberger', 'Annie Potts', 'John Morris', 'Erik von Detten', 'Laurie Metcalf', 'R. Lee Ermey', 'Sarah Freeman', 'Penn Jillette', 'Jack Angel', 'Spencer Aste', 'Greg Berg', 'Lisa Bradley', 'Kendall Cunningham', 'Debi Derryberry', 'Cody Dorkin', 'Bill Farmer', 'Craig Good', 'Gregory Grudt', 'Danielle Judovits', 'Sam Lasseter', 'Brittany Levenbrown', 'Sherry Lynn', 'Scott McAfee', 'Mickie McGowan', ""Ryan O'Donohue"", 'Jeff Pidgeon', 'Patrick Pinney', 'Phil Proctor', 'Jan Rabson', 'Joe Ranft', 'Andrew Stanton', 'Shane Sweet', 'John Lasseter', 'Jonathan Benair']"|['John Lasseter']
2|Jumanji|1995|0|0|0|0|0|0|0|0|1|0|0|0|0|0|1|1|0|0|When siblings Judy and Peter discover an enchanted board game that opens the door to a magical world, they unwittingly invite Alan -- an adult who's been trapped inside the game for 26 years -- into their living room. Alan's only hope for freedom is to finish the game, which proves risky as all three find themselves running from giant rhinoceroses, evil monkeys and other terrifying creatures.|['Robin Williams', 'Kirsten Dunst', 'Bradley Pierce', 'Bonnie Hunt', 'Jonathan Hyde', 'Bebe Neuwirth', 'David Alan Grier', 'Adam Hann-Byrd', 'Patricia Clarkson', 'Laura Bell Bundy', 'James Handy', 'Gillian Barber', 'Brandon Obray', 'Cyrus Thiedeke', 'Gary Joseph Thorup', 'Leonard Zola', 'Lloyd Berry', 'Malcolm Stewart', 'Annabel Kershaw', 'Darryl Henriques', 'Robyn Driscoll', 'Peter Bryant', 'Sarah Gilson', 'Florica Vlad', 'June Lion', 'Brenda Lockmuller', 'Frederick Richardson', 'Jaysen Clough', 'Daniel Olsen', 'Falko Schilling', 'David Szehi', 'Tom Woodruff Jr.']|['Joe Johnston']
3|Grumpier Old Men|1995|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|1|0|A family wedding reignites the ancient feud between next-door neighbors and fishing buddies John and Max. Meanwhile, a sultry Italian divorcée opens a restaurant at the local bait shop, alarming the locals who worry she'll scare the fish away. But she's less interested in seafood than she is in cooking up a hot time with Max.|['Walter Matthau', 'Jack Lemmon', 'Ann-Margret', 'Sophia Loren', 'Daryl Hannah', 'Burgess Meredith', 'Kevin Pollak', 'Katie Sagona', 'Ann Morgan Guilbert', 'James Andelin', 'Marcus Klemp', 'Max Wright', 'Cheryl Hawker', 'Michelle Johnston']|['Howard Deutch']
4|Waiting to Exhale|1995|0|0|0|0|0|0|1|0|0|0|0|0|0|1|0|0|0|0|"Cheated on, mistreated and stepped on, the women are holding their breath, waiting for the elusive ""good man"" to break a string of less-than-stellar lovers. Friends and confidants Vannah, Bernie, Glo and Robin talk it all out, determined to find a better way to breathe."|['Whitney Houston', 'Angela Bassett', 'Loretta Devine', 'Lela Rochon', 'Gregory Hines', 'Dennis Haysbert', 'Mykelti Williamson', 'Michael Beach', 'Leon', 'Wendell Pierce', 'Donald Faison', 'Jeffrey D. Sams', 'Jazz Raycole', 'Brandon Hammond', 'Kenya Moore', 'Lamont Johnson', 'Wren T. Brown', 'Theo', 'Ken Love', 'Graham Galloway', 'Starletta DuPois', 'Shari L. Carpenter', 'Thomas R. Leander', 'Cordell Conway', 'Lee Wells Jr.', 'Hope Brown', 'Delaina Mitchell', 'Luis Sharpe', 'Joseph S. Myers', 'Ezra Swerdlow', 'Ellin La Var', 'Patricia Anne Fox', 'Wally Bujack', 'Brenda Baldwin-Davis', 'William Bolander', 'L. Scott Caldwell', 'Kacee DeMasi', 'Giancarlo Esposito', 'Wanda-Lee Evans', 'Tom Hedrick', 'Donyell Hinton', 'Bob Huff', 'Angela Kenzslowe', 'Kelly Preston', 'Jose Rosete', 'Juliet Rose Serrato', 'Wesley Snipes']|['Forest Whitaker']
5|Father of the Bride Part II|1995|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|Just when George Banks has recovered from his daughter's wedding, he receives the news that she's pregnant ... and that George's wife is expecting too. He was planning on selling their home, but that's a plan that—like George—will have to change with the arrival of both a grandchild and a kid of his own.|['Steve Martin', 'Diane Keaton', 'Martin Short', 'Kimberly Williams-Paisley', 'George Newbern', 'Kieran Culkin', 'BD Wong', 'Peter Michael Goetz', 'Kate McGregor-Stewart', 'Jane Adams', 'Eugene Levy', 'Rebecca Chambers', 'April Ortiz', 'Dulcy Rogers', 'Kathy Anthony', 'Adrian Canzoneri', 'Lori Alan', 'Stephanie Miller', 'Hallie Meyers-Shyer', 'Jay Wolpert', 'Ann Walker', 'Sandra Silvestri', 'William Akey', 'Jonathan Emerson', 'Seth Kaplan', 'Joshua Duvall Preston', 'K.C. Colwell', 'Chase Colwell', 'Tony Simotes', 'Annie Meyers-Shyer', 'Linda DeScenna', 'Heidi Averill', 'Chelsea Lynn', 'Sue Colwell', 'Rodrigo Botero', 'Vince Lozano', 'Caroline Lagerfelt', 'Ilene Waterstone', 'Wendy Worthington', 'Dorian Spencer', 'Harris Laskawy', 'Roxanne Beckford', 'Valerie Hemmerich', 'Peter Spears', 'Susan Beaubian', 'Mychael Bates', 'Jerri Rose White', 'Shannon Kennedy', 'Casey Boersma', 'Katie Pierce', 'Dylan Boersma', 'Jonathan Selstad', 'Thomas Selstad', 'Christian Boeving', 'Nora Dunn', 'David Novak', 'Kylie Travis']|['Charles Shyer']
6|Heat|1995|0|0|1|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|Obsessive master thief Neil McCauley leads a top-notch crew on various daring heists throughout Los Angeles while determined detective Vincent Hanna pursues him without rest. Each man recognizes and respects the ability and the dedication of the other even though they are aware their cat-and-mouse game may end in violence.|"['Al Pacino', 'Robert De Niro', 'Val Kilmer', 'Jon Voight', 'Tom Sizemore', 'Diane Venora', 'Amy Brenneman', 'Ashley Judd', 'Mykelti Williamson', 'Wes Studi', 'Ted Levine', 'Dennis Haysbert', 'William Fichtner', 'Natalie Portman', 'Tom Noonan', 'Kevin Gage', 'Hank Azaria', 'Susan Traylor', 'Kim Staunton', 'Danny Trejo', 'Henry Rollins', 'Jerry Trimble', 'Martin Ferrero', 'Ricky Harris', 'Tone Loc', 'Begonya Plaza', 'Hazelle Goodman', 'Ray Buktenica', 'Jeremy Piven', 'Xander Berkeley', 'Rick Avery', 'Brad Baldridge', 'Andrew Camuccio', 'Brian Camuccio', 'Max Daniels', 'Vince Deadrick Jr.', 'Charles Duke', 'Thomas Elfmont', 'Kenny Endoso', 'Kimberly Flynn', 'Steven Ford', 'Farrah Forke', 'Hannes Fritsch', 'Amanda Graves', 'Emily Graves', 'Niki Haris', 'Ted Harvey', 'Patricia Healy', 'Paul Herman', 'Cindy Katz', 'Brian Libby', 'Bill McIntosh', 'Dan Martin', 'Rick Marzan', 'Terry Miller', 'Paul Moyer', ""Daniel O'Haco"", 'Mario Roberts', 'Phillip Robinson', 'Thomas Rosales Jr.', 'Rainell Saunders', 'Kai Soremekun', 'Rey Verdugo', 'Wendy L. Walsh', 'Yvonne Zima', 'Monica Lee Bellais', 'Peter Blackwell', 'Trevor Coppola', 'Bud Cort', 'Annette Goodman', 'Mick Gould', 'Mary Kircher', 'David Koseruba', 'Darin Mangan', 'Melissa S. Markess', 'Andre McCoy', 'Darren Melton', 'Robert Miranda', 'Kathryn Mullen', 'Manny Perry', 'Jimmy N. Roberts', 'Iva Franks-Singer', 'Jimmy Star', 'Gloria Koehn Straube', 'Viviane Vives', 'Tim Werner', 'Heidi Miller']"|['Michael Mann']
7|Sabrina|1995|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|1|0|Maira lives happily with Aiden, a doll maker and toy company owner. But Vanya, their adopted daughter and Aiden's niece, is still dealing with the loss of her birth mother. After Vanya plays Charlie's Pencil to summon her late mother, strange things begin to happen.|['Luna Maya', 'Christian Sugiono', 'Sara Wijayanto', 'Demian Aditya', 'Asri Handayani', 'Rizky Hanggono', 'Richelle Georgette Skornicki', 'Jeremy Thomas', 'Imelda', 'Habibie Alatas', 'Adlu Fahrezy', 'Vidya Ully', 'Felix William Smitts', 'Yasmine Mahya', 'Danial Ricco', 'Trizky', 'Sahil Shah']|['Rocky Soraya']
8|Tom and Huck|1995|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|0|0|A mischievous young boy, Tom Sawyer, witnesses a murder by the deadly Injun Joe. Tom becomes friends with Huckleberry Finn, a boy with no future and no family. Tom has to choose between honoring a friendship or honoring an oath because the town alcoholic is accused of the murder. Tom and Huck go through several adventures trying to retrieve evidence.|['Jonathan Taylor Thomas', 'Brad Renfro', 'Eric Schweig', 'Charles Rocket', 'Amy Wright', 'Michael McShane', 'Marian Seldes', 'Rachael Leigh Cook', 'Lanny Flaherty', 'Courtland Mead', 'Peter MacKenzie', 'Heath Lamberts', 'William Newman', 'Joey Stinson', 'Blake Heron', 'Jim Aycock', 'Andy Stahl', 'Adrian Roberts', 'Tiffany Lynn Clark', 'Kellen Hathaway', 'Mark Cabus', 'Bronwen Murray', 'Paul Kropfl', 'Tamara Mello', 'Ike Eisenmann']|['Peter Hewitt']
9|Sudden Death|1995|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|When a man's daughter is suddenly taken during a championship hockey game – with the captors demanding a billion dollars by game's end – he frantically sets a plan in motion to rescue her and abort an impending explosion before the final buzzer.|"['Jean-Claude Van Damme', 'Powers Boothe', 'Raymond J. Barry', 'Whittni Wright', 'Ross Malinger', 'Dorian Harewood', 'Kate McNeil', 'Michael Gaston', 'Audra Lindley', 'Brian Delate', 'Steve Aronson', 'Michael R. Aubele', 'Karen Elise Baldwin', 'Jennifer D. Bowser', 'Pat Brisson', 'Glenda Morgan Brown', 'Jophery C. Brown', 'William Cameron', 'Bernard Canepari', 'Jay Caufield', 'Alan Clement', 'Bill Clement', 'Bill Dalzell', 'Gilbert B. Combs', 'Jack Erdie', 'Ed Evanko', 'David Flick', 'Glenn Alan Gardner', 'John Hall', 'Jeff Habberstad', 'Mark Hager', 'John Hateley', ""Rosine 'Ace' Hatem"", 'Jeff Hochendoner', 'Jeff Howell', 'Brian Hutchison', 'Jeff Jimerson', 'Mark Kachowski', 'Callum Keith-King', 'Rick LeFevour', 'Tommy Lafitte', 'Raymond Laine', 'Mike Lange', 'Butch Luick', 'Fred Mancuso', 'Anthony Marino', 'Larry John Meyers', 'Ken Milchick', 'Faith Minton', 'Paul Mochnick', 'Brad Moniz', 'Jean-Pierre Nutini', 'Daniel R. Pagath', 'Manny Perry', 'Allan Pinsker', 'Douglas Rees', 'Diane Robin', 'Luc Robitaille', 'Thomas Saccio', 'Vinnie Sciullo', 'Jack Skelly', 'Brian Smrz', 'Phil Spano', 'Paul Steigerwald', 'John Sterling', 'Harold Surratt', 'Rohn Thomas', 'Milton E. Thompson Jr.', 'Dixie Tymitz', 'Fred Waugh', 'Rema Webb', 'Dean E. Wells', 'Jake Teague']"|['Peter Hyams']
10|GoldenEye|1995|0|0|1|0|0|1|0|0|0|0|0|0|0|0|0|1|0|0|When a powerful satellite system falls into the hands of Alec Trevelyan, AKA Agent 006, a former ally-turned-enemy, only James Bond can save the world from a dangerous space weapon that -- in one short pulse -- could destroy the earth! As Bond squares off against his former compatriot, he also battles Xenia Onatopp, an assassin who uses pleasure as her ultimate weapon|['Pierce Brosnan', 'Sean Bean', 'Izabella Scorupco', 'Famke Janssen', 'Joe Don Baker', 'Judi Dench', 'Robbie Coltrane', 'Tchéky Karyo', 'Gottfried John', 'Alan Cumming', 'Desmond Llewelyn', 'Samantha Bond', 'Michael Kitchen', 'Serena Gordon', 'Simon Kunz', 'Pavel Douglas', 'Olivier Lajous', 'Billy J. Mitchell', 'Constantine Gregory', 'Minnie Driver', 'Michelle Arthur', 'Ravil Isyanov', 'Vladimir Milanovich', 'Trevor Byfield', 'Peter Majer', 'Kate Gayson', 'Simone Bechtel']|['Martin Campbell']
