MovieId|Title|ReleasedYear|Western|Crime|Mystery|Romance|Children's|Horror|Drama|Fantasy|Sci-Fi|Film-Noir|Thriller|Adventure|War|Musical|Action|Comedy|Documentary|Animation|Synopsis|SentimentScore
1|Toy Story |1995|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|1|0|1|Led by Woody, Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onto the scene. Afraid of losing his place in Andy's heart, Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner, the duo eventually learns to put aside their differences.|0.47719213366508484
2|Jumanji |1995|0|0|0|0|1|0|0|1|0|0|0|1|0|0|0|0|0|0|As the gang return to Jumanji to rescue one of their own, they discover that nothing is as they expect. The players will have to brave parts unknown and unexplored in order to escape the world’s most dangerous game.|-0.5149155855178833
3|Grumpier Old Men |1995|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|1|0|0|A family wedding reignites the ancient feud between next-door neighbors and fishing buddies John and Max. Meanwhile, a sultry Italian divorcée opens a restaurant at the local bait shop, alarming the locals who worry she'll scare the fish away. But she's less interested in seafood than she is in cooking up a hot time with Max.|-0.8184983134269714
4|Waiting to Exhale |1995|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|1|0|0|"Cheated on, mistreated and stepped on, the women are holding their breath, waiting for the elusive ""good man"" to break a string of less-than-stellar lovers. Friends and confidants Vannah, Bernie, Glo and Robin talk it all out, determined to find a better way to breathe."|-0.9688581228256226
5|Father of the Bride Part II |1995|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|Just when George Banks has recovered from his daughter's wedding, he receives the news that she's pregnant ... and that George's wife is expecting too. He was planning on selling their home, but that's a plan that—like George—will have to change with the arrival of both a grandchild and a kid of his own.|-0.6345699429512024
6|Heat |1995|0|1|0|0|0|0|0|0|0|0|1|0|0|0|1|0|0|0|In Pattaya, a deadly game of cat and mouse takes place in which the protagonist 'Thod' finds himself involved with a threatening mafia gang, against the background of the dark side of the city.|-0.7975534200668335
7|Sabrina |1995|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|1|0|0|When he wins a contest, seventeen-year-old Daniel Montero gets to spend a night in Buenos Aires with his favorite adult movie star, Sabrina Love. However, getting there will be half the trouble of meeting Sabrina.|0.7998574376106262
8|Tom and Huck |1995|0|0|0|0|1|0|0|0|0|0|0|1|0|0|0|0|0|0|A mischievous young boy, Tom Sawyer, witnesses a murder by the deadly Injun Joe. Tom becomes friends with Huckleberry Finn, a boy with no future and no family. Tom has to choose between honoring a friendship or honoring an oath because the town alcoholic is accused of the murder. Tom and Huck go through several adventures trying to retrieve evidence.|-0.6130834817886353
9|Sudden Death |1995|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|When a man's daughter is suddenly taken during a championship hockey game – with the captors demanding a billion dollars by game's end – he frantically sets a plan in motion to rescue her and abort an impending explosion before the final buzzer.|-0.5409021973609924
10|GoldenEye |1995|0|0|0|0|0|0|0|0|0|0|1|1|0|0|1|0|0|0|When a powerful satellite system falls into the hands of Alec Trevelyan, AKA Agent 006, a former ally-turned-enemy, only James Bond can save the world from a dangerous space weapon that -- in one short pulse -- could destroy the earth! As Bond squares off against his former compatriot, he also battles Xenia Onatopp, an assassin who uses pleasure as her ultimate weapon|-0.48489809036254883
11|American President, The |1995|0|0|0|1|0|0|1|0|0|0|0|0|0|0|0|1|0|0|Widowed U.S. president Andrew Shepherd, one of the world's most powerful men, can have anything he wants -- and what he covets most is Sydney Ellen Wade, a Washington lobbyist. But Shepherd's attempts at courting her spark wild rumors and decimate his approval ratings.|-0.9334391951560974
12|Dracula: Dead and Loving It |1995|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|1|0|0|When a lawyer shows up at the vampire's doorstep, he falls prey to his charms and joins him in his search for fresh blood. Enter Professor Van Helsing, who may be the only one able to vanquish the Count.|-0.5999733209609985
13|Balto |1995|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|1|An outcast half-wolf risks his life to prevent a deadly epidemic from ravaging Nome, Alaska.|-0.49092575907707214
14|Nixon |1995|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|Never before seen Super 8 home movies filmed by Richard Nixon's closest aides - and convicted Watergate conspirators - offer a surprising and intimate new look into his Presidency.|0.4899458885192871
15|Cutthroat Island |1995|0|0|0|1|0|0|0|0|0|0|0|1|0|0|1|0|0|0|Morgan Adams and her slave, William Shaw, are on a quest to recover the three portions of a treasure map. Unfortunately, the final portion is held by her murderous uncle, Dawg. Her crew is skeptical of her leadership abilities, so she must complete her quest before they mutiny against her. This is made yet more difficult by the efforts of the British crown to end her pirate raids.|-0.6954973936080933
16|Casino |1995|0|0|0|0|0|0|1|0|0|0|1|0|0|0|0|0|0|0|It was the summer of 1991, Macau was in violent atmosphere.|-0.9638404250144958
17|Sense and Sensibility |1995|0|0|0|1|0|0|1|0|0|0|0|0|0|0|0|0|0|0|The Dashwood sisters, sensible Elinor and passionate Marianne, whose chances at marriage seem doomed by their family's sudden loss of fortune.  When Henry Dashwood dies unexpectedly, his estate must pass on by law to his son from his first marriage, John and wife Fanny. But these circumstances leave Mr. Dashwood's current wife, and daughters Elinor, Marianne and Margaret, without a home and with barely enough money to live on. As Elinor and Marianne struggle to find romantic fulfillment in a society obsessed with financial and social status, they must learn to mix sense with sensibility in their dealings with both money and men.|-0.9200001955032349
18|Four Rooms |1995|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|It's Ted the Bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments. It seems that this evening's room service is serving up one unbelievable happening after another.|-0.5705986022949219
19|Ace Ventura: When Nature Calls |1995|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|Summoned from an ashram in Tibet, Ace finds himself on a perilous journey into the jungles of Africa to find Shikaka, the missing sacred animal of the friendly Wachati tribe. He must accomplish this before the wedding of the Wachati's Princess to the prince of the warrior Wachootoos. If Ace fails, the result will be a vicious tribal war.|0.449074923992157
20|Money Train |1995|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|When a vengeful New York transit cop decides to steal a trainload of subway fares, his foster brother—a fellow cop—tries to protect him.|-0.7925925254821777
21|Get Shorty |1995|0|0|0|0|0|0|1|0|0|0|0|0|0|0|1|1|0|0|"Chili Palmer is a Miami mobster who gets sent by his boss, the psychopathic ""Bones"" Barboni, to collect a bad debt from Harry Zimm, a Hollywood producer who specializes in cheesy horror films. When Chili meets Harry's leading lady, the romantic sparks fly. After pitching his own life story as a movie idea, Chili learns that being a mobster and being a Hollywood producer really aren't all that different."|-0.41928088665008545
22|Copycat |1995|0|1|0|0|0|0|1|0|0|0|1|0|0|0|0|0|0|0|An agoraphobic psychologist and a female detective must work together to take down a serial killer who copies serial killers from the past.|-0.5812983512878418
23|Assassins |1995|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|After being suspended from their agency due to a rules violation, teenage hitmen Chisato and Mahiro are forced to get “real” jobs to make ends meet. But while the elite duo is forbidden from executing targets or enemies under any circumstances, two aspiring rival hitmen decide to eliminate the competition while they’re vulnerable—leading to a lightning-fast showdown between trained killers.|-0.7848227620124817
24|Powder |1995|0|0|0|0|0|0|1|0|1|0|0|0|0|0|0|0|0|0|"Harassed by classmates who won't accept his shocking appearance, a shy young man known as ""Powder"" struggles to fit in. But the cruel taunts stop when Powder displays a mysterious power that allows him to do incredible things. This phenomenon changes the lives of all those around him in ways they never could have imagined."|0.617202877998352
25|Leaving Las Vegas |1995|0|0|0|1|0|0|1|0|0|0|0|0|0|0|0|0|0|0|Ben Sanderson, an alcoholic Hollywood screenwriter who lost everything because of his drinking, arrives in Las Vegas to drink himself to death. There, he meets and forms an uneasy friendship and non-interference pact with prostitute Sera.|-0.810723602771759
26|Othello |1995|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|The evil Iago pretends to be friend of Othello in order to manipulate him to serve his own end in the film version of this Shakespeare classic.|-0.8873675465583801
27|Now and Then |1995|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|Waxing nostalgic about the bittersweet passage from childhood to puberty, four childhood girlfriends — Teeny, Chrissy, Samantha and Roberta — recall the magical summer of 1970. During their walk down memory lane, they reconcile experiences with boys, secrets, bullies and more.|-0.3684383034706116
